0,2618
0,1832
0,776
0,3325
0,3814
0,6453
0,5124
0,5611
0,32
0,5067
0,2462
0,1704
1,2911
2,87
2,2652
2,3083
2,200
2,4380
2,5310
4,2043
4,1944
4,5710
4,1858
5,3266
5,1850
5,6362
3230,5062
3230,368
3230,6272
8,2732
8,1020
8,4327
8,6047
8,4285
8,6071
8,4558
8,4939
8,3166
8,4431
8,1506
8,1446
8,5703
9,5203
52,6276
52,4874
11,2128
11,5418
12,4057
12,5212
12,2335
13,2291
13,4496
13,3476
13,3179
13,1554
13,477
13,4916
14,4879
14,1612
14,4112
15,2245
15,185
15,2574
15,2262
15,2670
15,4080
15,3930
15,2274
15,1920
15,4291
15,2473
15,5504
15,2183
15,357
15,5001
15,3033
15,4007
15,3536
15,76
15,6362
15,5699
15,2939
15,5862
15,200
15,5203
15,1561
15,1603
15,6125
16,6114
17,3143
17,6272
17,3121
17,5333
17,3521
17,1620
17,1571
17,4779
18,6447
18,3572
18,6299
18,3658
18,2429
18,2081
18,3181
18,5311
18,4715
18,2113
18,1496
18,5126
18,1599
18,5051
18,546
18,3379
18,3428
18,1628
18,4358
18,6348
18,908
18,1433
18,4823
18,2335
18,4592
18,5372
18,1476
18,1866
18,3627
18,3936
18,1773
18,3790
18,4855
18,1386
18,496
18,3584
18,965
18,1609
18,2451
18,3642
18,3036
18,5823
18,5350
18,420
18,2698
18,3893
18,3712
18,4450
18,6036
18,6303
18,843
18,5825
18,927
18,5399
18,427
18,2745
18,5003
18,91
18,6361
18,2513
18,2852
18,6432
18,2843
18,4759
18,946
18,5465
18,5551
18,6252
18,3825
18,1194
18,4740
18,2463
18,3400
18,3176
18,1347
18,3618
18,3406
18,2593
18,3851
18,1349
18,1528
18,482
18,3362
18,1159
18,2523
18,947
18,2712
18,4537
18,5624
18,2275
18,225
18,6307
19,1872
19,6122
20,5690
20,249
20,228
20,3245
20,2394
20,4916
20,3826
20,200
20,5026
21,2832
21,6246
21,4527
21,2452
21,467
21,654
21,1419
21,2703
21,1171
21,3656
23,4571
23,4997
23,4626
23,2076
23,3700
23,318
23,1889
24,3654
24,1619
24,1574
24,4695
24,460
24,5940
24,3974
24,4243
24,5016
24,4795
25,342
25,2261
25,2920
25,5317
25,4615
25,2161
26,494
26,5343
26,6345
26,2087
26,4361
26,2051
26,5167
26,4346
26,631
26,2557
26,5082
26,3046
